"","tract","total_population","rev","human_services1","education1","public1","religion1","oth1","arts1","health","total","ndi"
"1","101101",1959,0,0,0,0,0,0,0,0,0,0.0917
"2","101102",4740,0,2,0,0,0,0,1,0,3,-0.0239
"3","101200",2483,8717500,6,1,3,0,3,3,0,13,0.0471
"4","101300",1965,13757526,2,1,0,0,0,0,1,4,0.0364
"5","101400",2056,3603404,3,0,1,1,1,0,1,6,0.0463
"6","101501",2820,0,0,0,0,0,0,0,0,0,0.073
"7","101603",2753,1984781,2,0,0,0,0,0,0,2,0.0929
"8","101700",2616,3951133,0,1,2,0,3,0,0,4,0.0763
"9","101800",2453,111083678,7,0,0,0,1,0,2,10,0.0971
"10","101901",1742,849041,2,0,0,0,0,0,0,2,0.0245
"11","102101",2747,41229,1,0,0,1,0,0,1,3,0.0373
"12","102102",2828,20958,2,1,0,0,0,0,0,3,0.0278
"13","102200",2731,798665,0,0,1,1,1,0,0,2,0.0102
"14","102300",2534,437476,1,0,1,0,1,0,0,2,0.0527
"15","102401",2168,0,0,0,0,0,0,0,0,0,0.0661
"16","102402",3542,0,0,0,0,0,0,0,0,0,0.0883
"17","102700",4066,547883,1,0,1,1,1,0,0,3,0.0853
"18","102800",2182,0,0,1,0,0,0,0,0,1,0.1044
"19","102900",2001,3737716,3,1,1,0,4,1,0,9,0.0817
"20","103100",1171,3512203,6,0,0,0,0,2,0,8,0.0221
"21","103300",2443,3755713,0,0,0,0,0,1,1,2,0.0625
"22","103400",2771,5870769,1,0,1,0,1,0,0,2,0.0535
"23","103500",1782,11606789,1,6,1,0,1,2,1,11,0.0133
"24","103602",3324,9337656,5,1,2,0,9,4,1,20,0.009
"25","103800",1823,46516,0,1,0,0,1,0,0,2,0.0534
"26","103900",2148,4815762,5,1,1,0,1,2,1,10,0.0643
"27","104100",1007,6494008,0,0,1,0,2,2,0,4,0.0788
"28","104200",1094,102655,0,0,0,0,0,1,0,1,0.004
"29","104300",1880,10273594,3,3,5,0,6,0,1,13,-0.0371
"30","104400",1195,211421,2,0,2,0,3,1,0,6,0.0091
"31","104600",1100,7390144,1,2,2,0,3,1,1,8,0.0626
"32","104800",1918,9406997,0,1,2,0,2,1,1,5,0.0428
"33","104900",2409,0,0,0,0,0,0,1,0,1,0.0869
"34","105100",4001,12312276,1,0,0,0,2,0,1,4,0.073
"35","105300",2810,10787,0,0,0,0,2,0,0,2,0.0809
"36","105400",3386,199141,2,0,0,0,2,1,1,6,0.0589
"37","105500",2116,0,0,0,0,0,0,0,0,0,0.0751
"38","105602",2570,3532069,0,0,1,0,3,0,0,3,0.091
"39","105700",4302,3402458,0,0,0,0,1,1,0,2,0.0546
"40","105900",3437,1155774,0,0,1,0,4,2,0,6,0.0198
"41","106100",3762,0,0,0,1,0,1,0,0,1,-0.003
"42","106200",3875,0,2,0,0,1,2,0,0,5,0.0106
"43","106300",2971,7419785,1,0,0,1,2,1,0,5,0.0292
"44","106400",1099,0,0,0,0,0,0,0,0,0,0.0247
"45","106500",2509,3928487,0,1,0,1,0,2,0,4,-0.0043
"46","106600",3672,2089177,1,1,1,1,2,0,0,5,0.0362
"47","106800",2757,839351,1,0,3,0,3,1,1,6,0.0643
"48","106900",3711,164543,2,0,0,0,1,0,0,3,0.0049
"49","107000",1686,140,0,0,2,0,3,0,0,3,-0.0316
"50","107101",4598,103010568,12,1,6,0,7,5,1,26,-0.0386
"51","107701",2468,421754264,37,15,58,5,75,10,11,153,-0.0228
"52","107802",4342,188878287,31,9,14,1,19,11,3,74,0.0629
"53","108201",1433,10198337,3,3,2,0,2,3,1,12,0.0278
"54","108301",1476,57703445,15,5,6,0,12,1,3,36,0.0267
"55","108400",1234,28268,1,0,1,0,1,0,0,2,0.0891
"56","108701",4168,148015498,22,6,14,0,18,2,8,56,0.166
"57","109301",1094,48762815,4,1,1,0,2,1,6,14,0.0981
"58","109701",2521,0,1,0,1,0,1,0,0,2,0.2125
"59","109801",2157,0,0,0,0,0,0,0,0,0,0.1908
"60","110501",729,7836108,2,2,0,0,0,1,1,6,0.0802
"61","110801",1216,15096250,5,3,0,0,1,0,0,9,0.0917
"62","110901",3089,4117067,3,1,0,0,0,1,0,5,0.0914
"63","111202",1219,7405165,3,1,2,0,3,1,0,8,0.0579
"64","111401",1137,0,0,0,0,1,0,0,0,1,0.1114
"65","111500",888,14275669,1,2,2,0,2,0,0,5,0.046
"66","111600",883,0,0,0,0,0,0,0,0,0,0.1167
"67","111700",1222,0,0,0,0,0,0,0,0,0,0.1055
"68","111800",808,569652,0,0,0,0,0,0,1,1,0.099
"69","111902",823,1736560,0,0,1,0,1,0,1,2,0.1275
"70","112100",1874,15668158,8,0,0,0,0,0,0,8,0.1189
"71","112200",1086,0,0,0,0,0,0,0,0,0,0.0876
"72","112301",1465,232367,2,0,0,0,0,1,0,3,0.1282
"73","112400",1128,904780,0,0,1,0,1,0,0,1,0.031
"74","112500",1389,0,0,0,0,0,0,0,0,0,0.0897
"75","112600",999,22500,0,0,1,0,1,0,1,2,0.1389
"76","112800",1067,5827,1,0,0,0,0,0,0,1,0.0803
"77","113101",708,7544382602,7,2,3,0,4,4,6,23,0.0835
"78","113500",1074,1665870,1,0,2,0,2,1,0,4,0.0795
"79","113600",834,0,0,0,0,0,0,0,0,0,0.0569
"80","113801",1920,362351,1,0,1,0,1,0,0,2,0.1395
"81","114100",829,0,0,0,0,0,0,0,0,0,0.1207
"82","114300",1649,0,0,0,0,0,0,0,0,0,0.1935
"83","114501",884,5857785,0,1,1,0,1,0,0,2,0.0826
"84","114600",1208,0,0,0,0,0,0,0,0,0,0.0644
"85","114700",499,2406377,1,0,0,0,0,0,0,1,0.1714
"86","114900",1950,0,0,0,0,0,0,1,0,1,0.0979
"87","115100",1197,40130,0,0,1,0,1,0,0,1,0.091
"88","115200",1026,0,0,0,0,0,1,0,0,1,0.1009
"89","115300",750,37328,1,0,0,0,0,0,0,1,0.0995
"90","115400",1586,389891,1,0,1,0,1,2,0,4,0.0596
"91","115700",1387,2889698,1,1,0,0,0,0,0,2,0.0555
"92","115800",3108,154396,0,0,1,0,3,0,0,3,0.0761
"93","115900",3995,0,0,0,0,1,0,0,0,1,0.0492
"94","116100",831,1961514,2,2,1,0,1,0,0,5,0.0945
"95","116200",828,0,0,0,0,0,0,0,0,0,0.0348
"96","116300",1674,0,0,0,0,0,0,0,0,0,0.059
"97","116400",2918,0,0,0,0,0,0,1,1,2,0.1046
"98","116500",1914,8664924,2,1,0,0,0,0,0,3,0.0803
"99","116600",2344,0,0,0,0,0,0,0,0,0,0.0695
"100","116700",1614,61910,0,0,2,0,2,1,0,3,0.0712
"101","116800",2271,0,0,0,0,0,0,0,1,1,0.0579
"102","116900",1313,0,0,0,0,0,0,0,0,0,0.099
"103","117101",2308,187766,1,0,0,0,0,0,0,1,0.0328
"104","117102",1198,424189,2,0,0,0,0,0,0,2,0.0897
"105","117201",2779,0,0,0,0,0,0,0,0,0,0.0959
"106","117202",1927,83125008,3,0,1,0,3,0,0,6,0.0466
"107","117300",2585,6138676,2,2,0,1,0,0,0,5,0.0777
"108","117400",1690,15472,3,0,0,0,0,0,0,3,0.0943
"109","117500",2827,3552311,1,1,0,1,0,0,0,3,0.0439
"110","117600",2890,1744032,3,1,1,2,2,0,0,8,0.0185
"111","117700",4654,20999127,12,1,3,0,9,4,0,26,0.0033
"112","117800",2226,1376653,1,0,0,0,0,0,0,1,0.0633
"113","117900",2194,0,1,0,0,0,1,1,0,3,0.0552
"114","118101",1902,5669406,0,2,0,0,0,1,0,3,0.0859
"115","118200",1757,64145,0,0,2,0,2,0,0,2,0.0677
"116","118301",2446,104873,2,0,0,0,3,0,0,5,0.062
"117","118400",1442,0,0,0,0,0,0,0,0,0,0.0534
"118","118500",865,0,0,0,0,0,0,0,0,0,0.0506
"119","118602",1836,7465754,2,1,0,0,0,0,0,3,0.1413
"120","118700",3953,293087542,7,11,4,1,6,8,4,37,0.0432
"121","118800",2780,38713787,5,8,3,0,4,5,0,22,0.0169
"122","118900",1743,24005301,2,0,1,0,1,0,3,6,0.0637
"123","119100",145,4100674571,0,7,1,1,1,0,6,15,-0.0078
"124","119202",1093,0,1,0,1,0,1,0,1,3,0.0582
"125","119300",3482,6423226,1,0,2,0,3,0,1,5,0.1179
"126","119401",1817,8086518,2,4,3,0,3,1,2,12,0.0252
"127","119402",1585,6362697,1,4,3,2,3,3,1,14,0.0755
"128","119501",2564,353871,3,2,0,1,0,0,0,6,0.0116
"129","119502",1909,2796278,0,1,0,0,1,6,0,8,0.0328
"130","119600",1714,5624340,1,1,0,2,0,0,0,4,0.0576
"131","119701",1428,153767,1,0,0,0,0,1,0,2,0.0347
"132","119702",1656,0,0,0,0,0,0,0,0,0,0.0904
"133","119800",3026,2332938,2,0,0,1,0,0,1,4,0.0919
"134","119900",1755,1243255,0,0,0,1,0,0,0,1,0.0455
"135","120200",2336,77176,1,0,1,0,1,0,0,2,0.1096
"136","120400",2263,1871556,0,1,0,0,1,0,0,2,0.094
"137","120500",2518,0,0,0,2,0,2,0,0,2,0.0906
"138","120600",2651,302419,1,1,0,0,0,0,0,2,0.0613
"139","120701",1197,21424943,0,0,2,0,2,0,1,3,0.0794
"140","120702",1647,0,1,0,0,1,0,0,0,2,0.0639
"141","120801",2193,0,0,0,0,0,0,0,0,0,0.0448
"142","120802",2298,0,0,0,0,0,1,0,0,1,0.0793
"143","121100",2503,0,0,0,0,0,0,0,0,0,0.0763
"144","121200",1603,4183405,0,1,0,0,0,0,0,1,0.0712
"145","121300",2119,0,0,0,1,2,1,0,0,3,0.0908
"146","121401",1854,5426769,3,1,1,0,1,1,0,6,0.0777
"147","121403",2581,0,0,0,0,0,0,0,0,0,0.0689
"148","121500",2959,511947,1,1,1,1,1,0,0,4,0.0526
"149","121700",3895,66128,2,0,1,0,1,1,0,4,0.0211
"150","121800",1638,6998,2,2,0,0,0,0,1,5,0.0228
"151","121900",1132,0,0,0,0,0,0,0,0,0,0.0401
"152","122100",3480,1852220,3,0,0,1,0,1,0,5,0.0302
"153","122200",1737,0,1,0,1,0,1,1,0,3,0.0491
"154","122300",1604,938421,1,0,0,0,0,0,0,1,0.0422
"155","123100",2583,10594,0,1,1,0,1,1,0,3,-0.0457
"156","123200",3152,150484,1,1,2,0,3,1,0,6,-0.0246
"157","123400",3823,7172516,3,0,2,1,6,0,1,11,-0.0217
"158","123501",3504,535359,3,0,1,0,1,0,2,6,0.0335
"159","123502",2716,139408,0,1,2,1,3,1,1,7,0.0185
"160","123601",3210,51626,0,0,0,0,0,1,0,1,-0.0223
"161","123602",2987,79460,1,1,1,0,1,0,0,3,0.0065
"162","123603",3333,1408067,2,0,4,0,5,1,0,8,-0.0228
"163","123700",2627,1056567,2,0,0,0,0,1,0,3,-0.0165
"164","123800",2339,0,0,0,1,0,1,0,0,1,0.114
"165","123900",2964,0,0,0,0,0,1,0,0,1,0.0205
"166","124100",5246,0,0,1,0,0,0,0,0,1,0.0333
"167","124201",2481,3475701,1,0,0,0,0,1,0,2,0.0066
"168","124202",1718,2338045,0,1,0,0,1,0,0,2,0.0289
"169","124300",4419,63230,1,1,1,0,1,0,0,3,0.0313
"170","124500",3808,1213575,1,2,2,0,2,0,0,5,0.0107
"171","124600",3877,5761294,1,2,0,0,0,0,0,3,0.0317
"172","126100",2907,482118,2,1,0,0,0,0,0,3,0.0136
"173","127501",2861,661357,1,0,1,0,1,0,0,2,0.0685
"174","130103",4387,312200,3,1,4,1,5,0,1,11,-0.059
"175","130104",4123,3499791,11,4,5,2,6,2,2,27,-0.0541
